STATION NAME,AGENCY,NO. OF PLUGS,TYPE OF CHARGER,ADDRESS,CITY,POSTCODE,BOROUGH,LATITUDE,LONGITUDE,COMMUNITY DISTRICT,COUNCIL DISTRICT,CENSUS TRACT 2020,BIN,BBL,NEIGHBORHOOD TABULATION AREA (NTA) (2020)
NYC FLEET / DOC_OBCC1,DOC,2,Level 2 Charger,16-00 Hazen Street,The Bronx,11370,Bronx,40.790312,-73.884412,401,22,1,2109474,2026050040,QN0151
NYC FLEET / DOC_PREA-1,DOC,2,Level 2 Charger,1 Construction Way,Bronx,11371,Bronx,,,,,,,,
NYC FLEET / DOC_PREA-2,DOC,2,Level 2 Charger,1 Construction Way,Bronx,11371,Bronx,,,,,,,,
NYC FLEET / DOC_QNSCOURT,DOC,2,Level 2 Charger,125-01 82Nd Ave,Kew Gardens,11415,Queens,40.710935,-73.831627,409,29,775,4079703,4033370047,QN0901
NYC FLEET / DOC_RADIO-1,DOC,2,Level 2 Charger,1616 Hazen St,The Bronx,10457,Bronx,40.790301,-73.884412,401,22,1,,,QN0151
NYC FLEET / DOC_RI-INVDIV-1,DOC,2,Level 2 Charger,Hillside Ave,Bronx,10474,Bronx,,,,,,,,
NYC FLEET / DOC_RI-INVDIV-2,DOC,2,Level 2 Charger,Hillside Ave,Bronx,10474,Bronx,,,,,,,,
NYC FLEET / DOC_RI-INVDIV-S,DOC,1,EV Solar Arc Charger,Hillside Ave,Bronx,10474,Bronx,,,,,,,,
NYC FLEET / DOC_RMSC-1,DOC,2,Level 2 Charger,19-19 Hazen St,New York,11370,Queens,40.788432,-73.884444,401,22,1,2109477,2026050040,QN0151
NYC FLEET / DOC_RNDC-1,DOC,2,Level 2 Charger,11-11 Hazen Street,The Bronx,11370,Staten Island,,,,,,,,
NYC FLEET / DOC_SDC-1,DOC,2,Level 2 Charger,SDC OFFICE,Queens,11370,Bronx,,,,,,,,
NYC FLEET / DOC_SLRCANOPY1,DOC,1,EV Solar Canopy Charger,11-15 Hazen St,East Elmhurst,11370,Bronx,40.793737,-73.884135,401,22,1,,,QN0151
NYC FLEET / DOC_SLRCANOPY2,DOC,1,EV Solar Canopy Charger,11-15 Hazen St,East Elmhurst,11370,Bronx,40.793737,-73.884135,401,22,1,,,QN0151
NYC FLEET / DOC_SLRCANOPY3,DOC,1,EV Solar Canopy Charger,11-15 Hazen St,East Elmhurst,11370,Bronx,40.793737,-73.884135,401,22,1,,,QN0151
NYC FLEET / DOC_SLRCANOPY4,DOC,1,EV Solar Canopy Charger,11-15 Hazen St,East Elmhurst,11370,Bronx,40.793737,-73.884135,401,22,1,,,QN0151
NYC FLEET / DOC_SLRCANOPY5,DOC,1,EV Solar Canopy Charger,11-15 Hazen St,East Elmhurst,11370,Bronx,40.793737,-73.884135,401,22,1,,,QN0151
NYC FLEET / DOC_SLRCANOPY6,DOC,1,EV Solar Canopy Charger,11-15 Hazen St,East Elmhurst,11370,Bronx,40.793737,-73.884135,401,22,1,,,QN0151
NYC FLEET / DOC_VBAIN-S,DOC,1,EV Solar Arc Charger,1 Halleck Street,Bronx,10474,Bronx,40.802228,-73.877557,202,17,9302,2128421,2027800073,BX0201
NYC FLEET / DOC_VCBC1,DOC,2,Level 2 Charger,1280 Ryawa Ave,The Bronx,10474,Bronx,40.804859,-73.884531,202,17,9302,,,BX0201
NYC FLEET / DOC_VTF_1,DOC,2,Level 2 Charger,15 W 5th St,New York,11370,Bronx,,,,,,,,
NYC FLEET / DOC_WFACADMIN-1,DOC,2,Level 2 Charger,1616 Hazen St,The Bronx,11370,Bronx,40.790301,-73.884412,401,22,1,,,QN0151
NYC FLEET / DOCCIBWESTFAC,DOC,2,Level 2 Charger,West Facility Cib,Elmhurst,11370,Queens,,,,,,,,
NYC FLEET / DOCCMUTRAILER01,DOC,2,Level 2 Charger,50 Construction Way,Flushing,11371,Queens,,,,,,,,
NYC FLEET / DOCCWOD3,DOC,2,Level 2 Charger,Hillside Ave,Bronx,10474,Bronx,,,,,,,,
NYC FLEET / DOCFLEETMT_1_L3,DOC,1,Level 3 Fast Charger,17-17 Hazen St,Flushing,11370,Queens,40.789275,-73.884406,401,22,1,,,QN0151
NYC FLEET / DOCFLEETMT_2_L3,DOC,1,Level 3 Fast Charger,17-17 Hazen St.,Flushing,11370,Queens,40.789275,-73.884406,401,22,1,,,QN0151
NYC FLEET / DOCTRANSARSEN01,DOC,2,Level 2 Charger,Hillside Ave,Bronx,10474,Bronx,,,,,,,,
NYC FLEET / DOCTRANSARSEN02,DOC,2,Level 2 Charger,Hillside Ave,Bronx,10474,Bronx,,,,,,,,
NYC FLEET / DOCWELLNES_1_L3,DOC,1,Level 3 Fast Charger,Hazen St,Bronx,10474,Bronx,,,,,,,,
NYC FLEET / DOE Q859,DOE,2,Level 2 Charger,30-48 Linden Pl,Flushing,11354,Queens,40.770185,-73.832925,407,20,869,4100749,4043700050,QN0707
NYC FLEET / DOE_ Q0001,DOE,1,Level 2 Charger,165-65 84Th Ave,Queens,11432,Queens,40.715389,-73.800369,408,24,452,4211027,4098670002,QN0805
NYC FLEET / DOE_ Q0002,DOE,1,Level 2 Charger,165-65 84Th Ave,Queens,11432,Queens,40.715389,-73.800369,408,24,452,4211027,4098670002,QN0805
NYC FLEET / DOE_ R0001,DOE,1,Level 2 Charger,6581 Hylan Blvd,Staten Island,10309,Staten Island,40.509084,-74.22093,503,51,198,5123970,5076640001,SI0304
NYC FLEET / DOE_131LIV-1,DOE,2,Level 2 Charger,131 Livingston St,Downtown Brooklyn,11201,Brooklyn,40.690743,-73.988605,302,33,37,3000420,3001540001,BK0202
NYC FLEET / DOE_131LIV-2,DOE,1,Level 2 Charger,131 Livingston St,Brooklyn,11201,Brooklyn,40.690743,-73.988605,302,33,37,3000420,3001540001,BK0202
NYC FLEET / DOE_B&GHS-1,DOE,1,Level 2 Charger,1700 Fulton St,Brooklyn,11213,Brooklyn,40.67944,-73.932407,303,36,271,3047996,3017010001,BK0302
NYC FLEET / DOE_BRONXX475,DOE,1,Level 2 Charger,99 Terrace Ave.,Bronx,10463,Bronx,,,,,,,,
NYC FLEET / DOE_BXSCIHS-1,DOE,1,Level 2 Charger,71 W 205th St,The Bronx,10468,Bronx,40.877537,-73.890921,207,11,409,,,BX0702
NYC FLEET / DOE_EDISONHS-S1,DOE,1,EV Solar Arc Charger,165-65 84Th Ave,Queens,11432,Queens,40.715389,-73.800369,408,24,452,4211027,4098670002,QN0805
NYC FLEET / DOE_ELECBUS,DOE,2,Level 2 Charger,231 Malta St,East New York,11207,Brooklyn,40.655179,-73.892416,305,42,1104,3000000,3043650100,BK0503
NYC FLEET / DOE_FLATLANDS-1,DOE,2,Level 2 Charger,6565 Flatlands Ave,Brooklyn,11236,Brooklyn,40.633285,-73.916735,318,46,950,3224139,3079980005,BK1803
NYC FLEET / DOE_GRANDST,DOE,2,Level 2 Charger,128 Waterbury St,Brooklyn,11206,Brooklyn,40.711722,-73.937926,301,34,485,3325747,3030210001,BK0104
NYC FLEET / DOE_HERBLHS-1,DOE,1,Level 2 Charger,3000 E Tremont Ave,The Bronx,10462,Bronx,40.840733,-73.838685,210,13,194,2074045,2053680001,BX1002
NYC FLEET / DOE_JADAMSHS1,DOE,2,Level 2 Charger,101-01 Rockaway Blvd,Queens,11417,Queens,40.679639,-73.837298,410,28,864,4202849,4095400002,QN1001
NYC FLEET / DOE_JADAMSHS2,DOE,2,Level 2 Charger,101-01 Rockaway Blvd,Queens,11417,Queens,40.679639,-73.837298,410,28,864,4202849,4095400002,QN1001
NYC FLEET / DOE_JFKHS-S1,DOE,1,EV Solar Arc Charger,1-49 Teunissen Pl,Bronx,10463,Bronx,40.876606,-73.912839,208,10,309,,,BX0802
NYC FLEET / DOE_K0001,DOE,1,Level 2 Charger,50 Bedford Ave,Brooklyn,11222,Brooklyn,40.721981,-73.953281,301,33,517,3066698,3026700001,BK0102
NYC FLEET / DOE_M104,DOE,2,Level 2 Charger,344-360 2nd Ave,New York,10010,Manhattan,40.736103,-73.982196,106,2,64,1081671,1009260001,MN0602
NYC FLEET / DOE_M466,DOE,1,Level 2 Charger,549 Audubon Ave,New York,10040,Manhattan,40.855855,-73.92712,112,10,277,1076751,1021600018,MN1202
NYC FLEET / DOE_M646,DOE,1,Level 2 Charger,321 E 96Th St,New York,10128,Manhattan,40.783638,-73.945626,111,8,15602,1083927,1016680001,MN1101
NYC FLEET / DOE_MANORSI-1,DOE,2,Level 2 Charger,1220 Manor Rd,Staten Island,10314,Staten Island,40.596745,-74.124263,502,50,181,5164530,5009550100,SI0203
NYC FLEET / DOE_MTWAIN-1,DOE,1,Level 2 Charger,2401 Neptune Ave,Brooklyn,11224,Brooklyn,40.578188,-73.99203,313,47,330,3188221,3069650140,BK1302
NYC FLEET / DOE_MTWAIN-2,DOE,2,Level 2 Charger,2401 Neptune Ave,Brooklyn,11224,Brooklyn,40.578188,-73.99203,313,47,330,3188221,3069650140,BK1302
NYC FLEET / DOE_PS59-#1,DOE,1,Level 2 Charger,2195 Bathgate Ave,New York,10065,Manhattan,,,,,,,,
NYC FLEET / DOE_Q142,DOE,2,Level 2 Charger,142-10 Linden Blvd,Queens,11436,Queens,40.684142,-73.801479,412,28,192,4259200,4119720070,QN1203
NYC FLEET / DOE_Q430-1,DOE,2,Level 2 Charger,58-20 Utopia Pkwy,Queens,11365,Queens,40.740724,-73.79283,411,20,1417,4148763,4068820001,QN1101
NYC FLEET / DOE_Q566,DOE,2,Level 2 Charger,74-20 Commonwealth Blvd,Queens,11426,Queens,40.746088,-73.727535,413,23,1567,4529899,4078700072,QN1302
NYC FLEET / DOE_Q80101,DOE,2,Level 2 Charger,5-1-5-41 44Th Dr,Long Island City,11101,Queens,,,,,,,,
NYC FLEET / DOE_Q80102,DOE,2,Level 2 Charger,44-36 Vernon Blvd,Long Island City,11101,Queens,40.749384,-73.952233,402,26,103,4005429,4004890001,QN0201
NYC FLEET / DOE_Q80103,DOE,2,Level 2 Charger,49-16 Vernon Blvd,Queens,11101,Queens,40.743237,-73.953941,402,26,701,4000124,4000320003,QN0201
NYC FLEET / DOE_Q80104,DOE,2,Level 2 Charger,49-16 Vernon Blvd,Queens,11101,Queens,40.743237,-73.953941,402,26,701,4000124,4000320003,QN0201
NYC FLEET / DOE_Q80105,DOE,2,Level 2 Charger,49-16 Vernon Blvd,Queens,11101,Queens,40.743237,-73.953941,402,26,701,4000124,4000320003,QN0201
NYC FLEET / DOE_Q859LINDEN,DOE,2,Level 2 Charger,30-48 Linden Pl,Queens,11354,Queens,40.770185,-73.832925,407,20,869,4100749,4043700050,QN0707
NYC FLEET / DOE_R0002,DOE,2,Level 2 Charger,6581 Hylan Blvd,Staten Island,10309,Staten Island,40.509084,-74.22093,503,51,198,5123970,5076640001,SI0304
NYC FLEET / DOE_SBCHS-1,DOE,1,Level 2 Charger,173 Conover St,Brooklyn,11231,Brooklyn,40.677969,-74.014363,306,38,5301,3398190,3005750003,BK0601
NYC FLEET / DOE_SPRGFLDHS-1,DOE,2,Level 2 Charger,143-10 Springfield Blvd,Queens,11413,Queens,40.668235,-73.756839,412,31,330,4280845,4130570056,QN1204
NYC FLEET / DOE_SSD_DK_1_L3,DOE,1,Level 3 Fast Charger,43-30 Dutch Kill Street,Long Island City,11101,Queens,,,,,,,,
NYC FLEET / DOE_STJOSEPH-1,DOE,1,Level 2 Charger,85 St Josephs Ave,Staten Island,10302,Staten Island,40.634573,-74.141818,501,49,213,5026076,5011210001,SI0106
NYC FLEET / DOE_ZEREGA-1,DOE,2,Level 2 Charger,1230 Zerega Ave,The Bronx,10462,Bronx,40.833586,-73.845099,209,18,96,2027195,2038420002,BX1001
NYC FLEET / DOE1230ZEREGAAV,DOE,1,Level 2 Charger,1230 Zerega Ave,Bronx,10462,Bronx,40.833586,-73.845099,209,18,96,2027195,2038420002,BX1001
NYC FLEET / DOE715OCEANTSI1,DOE,1,Level 2 Charger,715 Ocean Terrace,Staten Island,10301,Staten Island,40.608756,-74.102344,502,50,17701,5113169,5006830001,SI0203
NYC FLEET / DOE715OCEANTSI2,DOE,1,Level 2 Charger,715 Ocean Terrace,Staten Island,10301,Staten Island,40.608756,-74.102344,502,50,17701,5113169,5006830001,SI0203
NYC FLEET / DOE90-27SUTPHIN,DOE,2,Level 2 Charger,90-24-90-26 Sutphin Blvd,Jamaica,11435,Queens,,,,,,,,
NYC FLEET / DOEFACILITIES 1,DOE,2,Level 2 Charger,44-36 Vernon Blvd,Queens,11101,Queens,40.749384,-73.952233,402,26,103,4005429,4004890001,QN0201
NYC FLEET / DOEFACILITIES 2,DOE,2,Level 2 Charger,44-36 Vernon Blvd,Queens,11101,Queens,40.749384,-73.952233,402,26,103,4005429,4004890001,QN0201
NYC FLEET / DOEM535,DOE,2,Level 2 Charger,525 West 50Th St,New York,10019,Manhattan,40.765234,-73.993076,104,3,13501,1083802,1010790029,MN0402
NYC FLEET / DOEPETRIDES-S1,DOE,1,EV Solar Arc Charger,21 Safety City Blvd,Todt Hill,10301,Staten Island,,,,,,,,
NYC FLEET / DOEVERNON_1_L3,DOE,1,Level 3 Fast Charger,44-36 Vernon Blvd,Long Island City,11101,Queens,40.749384,-73.952233,402,26,103,4005429,4004890001,QN0201
NYC FLEET / DOEVERNONBLVD-1,DOE,1,Level 2 Charger,5-40 44Th Dr,Long Island City,11101,Queens,40.749341,-73.954023,402,26,103,4518727,4000240007,QN0201
NYC FLEET / DOEVERNONBLVD-2,DOE,1,Level 2 Charger,44-36 Vernon Blvd,Long Island City,11101,Queens,40.749384,-73.952233,402,26,103,4005429,4004890001,QN0201
NYC FLEET / DOEVERNONBLVD-3,DOE,1,Level 2 Charger,44-36 Vernon Blvd,Long Island City,11101,Queens,40.749384,-73.952233,402,26,103,4005429,4004890001,QN0201
NYC FLEET / DOEVERNONBLVD-4,DOE,1,Level 2 Charger,44-36 Vernon Boulevard,Long Island City,11101,Queens,40.749384,-73.952233,402,26,103,4005429,4004890001,QN0201
NYC FLEET / DOEVERNONBLVD-5,DOE,1,Level 2 Charger,44-36 Vernon Boulevard,Long Island City,11101,Queens,40.749384,-73.952233,402,26,103,4005429,4004890001,QN0201
NYC FLEET / DOEVERNONBLVD-6,DOE,1,Level 2 Charger,49-44 Vernon Blvd,Queens,11101,Queens,40.743099,-73.953992,402,26,701,,,QN0201
NYC FLEET / DOEVERNONBLVD-7,DOE,1,Level 2 Charger,44-36 Vernon Blvd,Queens,11101,Queens,40.749384,-73.952233,402,26,103,4005429,4004890001,QN0201
NYC FLEET / DOF_STARR#1,DOF,2,Level 2 Charger,31-46 Greenpoint Ave,Queens,11101,Queens,40.734714,-73.93697,402,26,19901,4003713,4003110023,QN0202
NYC FLEET / DOF_STARR#2,DOF,2,Level 2 Charger,31-32 Greenpoint Ave,Queens,11101,Queens,40.73466,-73.93711,402,26,19901,4003709,4003110018,QN0202
NYC FLEET / DOF_STARR_1_L3,DOF,1,Level 3 Fast Charger,3010 Starr Ave,Long Island City,11101,Queens,40.737775,-73.938082,402,26,19902,4307187,4002950045,QN0202
NYC FLEET / DOF_STARR_2_L3,DOF,1,Level 3 Fast Charger,3010 Starr Ave,Long Island City,11101,Queens,40.737775,-73.938082,402,26,19902,4307187,4002950045,QN0202
NYC FLEET / DOH_56 DRIVE,DOH,1,Level 2 Charger,5617 56Th Dr,Queens,11378,Queens,40.72441,-73.914492,402,26,219,4058946,4025850002,QN0501
NYC FLEET / DOH_BEDFORDHCS1,DOH,1,EV Solar Arc Charger,515 Putnam Ave,Bedford-Stuyvesant,11221,Brooklyn,40.685146,-73.940431,303,36,277,3051831,3018260070,BK0302
NYC FLEET / DOT_22STLOT-1,DOT,2,Level 2 Charger,41-54 22Nd St,Queens,11101,Queens,40.752701,-73.942118,401,26,3301,4542032,4004110010,QN0105
NYC FLEET / DOT_22STLOT-2,DOT,2,Level 2 Charger,41-54 22Nd St,Queens,11101,Queens,40.752701,-73.942118,401,26,3301,4542032,4004110010,QN0105
NYC FLEET / DOT_22STLOT-3,DOT,2,Level 2 Charger,41-54 22Nd St,Queens,11101,Queens,40.752701,-73.942118,401,26,3301,4542032,4004110010,QN0105
NYC FLEET / DOT_29ST-S2,DOT,1,EV Solar Arc Charger,9 29Th St,Greenwood,11232,Brooklyn,40.661018,-74.004859,307,38,1802,3378171,3006620001,BK0702
NYC FLEET / DOT_448HAMILTON,DOT,2,Level 2 Charger,448 Hamilton Ave,Brooklyn,11232,Brooklyn,40.670361,-73.997693,307,38,1801,3336712,3006250002,BK0702
NYC FLEET / DOT_CNNRYD_1_L3,DOT,1,Level 3 Fast Charger,3200 Conner St,East Bronx,10475,Bronx,40.880471,-73.821784,210,12,46203,2118086,2052560195,BX1004
NYC FLEET / DOT_COLUMB-1,DOT,1,Level 2 Charger,166 Columbia St,Brooklyn,11231,Brooklyn,40.686448,-74.002026,306,39,47,3000000,3003180028,BK0601
NYC FLEET / DOT_COLUMB-2,DOT,1,Level 2 Charger,184 Columbia St,Brooklyn,11231,Brooklyn,40.686039,-74.002221,306,39,47,3000000,3003180037,BK0601
NYC FLEET / DOT_FBF-S1,DOT,1,EV Solar Arc Charger,3159 Flatbush Ave,Brooklyn,11234,Brooklyn,40.589157,-73.899781,356,46,70202,3397777,3085910075,BK5691
NYC FLEET / DOT_FRYMT_1_L3,DOT,1,Level 3 Fast Charger,1 Bay St,Staten Island,10306,Staten Island,40.643733,-74.072789,501,49,3,5141706,5000020001,SI0101
NYC FLEET / DOT_FRYMT_2_L3,DOT,1,Level 3 Fast Charger,1 Bay St,Staten Island,10306,Staten Island,40.643733,-74.072789,501,49,3,5141706,5000020001,SI0101
NYC FLEET / DOT_FRYTRM_1_L3,DOT,1,Level 3 Fast Charger,1 Bay St,Staten Island,10301,Staten Island,40.643733,-74.072789,501,49,3,5141706,5000020001,SI0101
NYC FLEET / DOT_FRYTRM_2_L3,DOT,1,Level 3 Fast Charger,1 Bay St,Staten Island,10301,Staten Island,40.643733,-74.072789,501,49,3,5141706,5000020001,SI0101
NYC FLEET / DOT_FRYTRM_3_L3,DOT,1,Level 3 Fast Charger,1 Bay St,Staten Island,10301,Staten Island,40.643733,-74.072789,501,49,3,5141706,5000020001,SI0101
NYC FLEET / DOT_FRYTRM_4_L3,DOT,1,Level 3 Fast Charger,1 Bay St,Staten Island,10301,Staten Island,40.643733,-74.072789,501,49,3,5141706,5000020001,SI0101
NYC FLEET / DOT_FTTOTTEN,DOT,2,Level 2 Charger,423 Abbott Rd,Bayside,11359,Queens,40.79419,-73.77855,407,19,999,,,QN0761
NYC FLEET / DOT_GLENDALE-S1,DOT,1,EV Solar Arc Charger,69-46 Sybilla St,Queens,11375,Queens,40.709174,-73.854849,406,29,645,4095043,4038860558,QN0602
NYC FLEET / DOT_GLENDALE-S2,DOT,1,EV Solar Arc Charger,69-46 Sybilla St,Queens,11375,Queens,40.709174,-73.854849,406,29,645,4095043,4038860558,QN0602
NYC FLEET / DOT_HARPER-S1,DOT,1,EV Solar Arc Charger,32-11 Harper St,Flushing,11368,Queens,40.764102,-73.842217,407,21,38301,4444576,4017900001,QN0707
NYC FLEET / DOT_HARPER-S2,DOT,1,EV Solar Arc Charger,32-1 Harper St,Corona,11368,Queens,40.764388,-73.842368,407,21,38301,4045010,4017900001,QN0707
NYC FLEET / DOT_KENTAVE-1,DOT,1,Level 2 Charger,372 Kent Ave,Brooklyn,11249,Brooklyn,40.711965,-73.968027,301,33,549,3335960,3024530001,BK0102
NYC FLEET / DOT_KENTAVE-2,DOT,1,Level 2 Charger,372 Kent Ave,Brooklyn,11249,Brooklyn,40.711965,-73.968027,301,33,549,3335960,3024530001,BK0102
NYC FLEET / DOT_KENTAVE-3,DOT,1,Level 2 Charger,372 Kent Ave,Brooklyn,11249,Brooklyn,40.711965,-73.968027,301,33,549,3335960,3024530001,BK0102
NYC FLEET / DOT_OLDSLIP-1,DOT,1,Level 2 Charger,32 Old Slip,New York,10005,Manhattan,40.703573,-74.008036,101,1,7,1000867,1000350001,MN0101
NYC FLEET / DOT_OLDSLIP-2,DOT,1,Level 2 Charger,32 Old Slip,New York,10005,Manhattan,40.703573,-74.008036,101,1,7,1000867,1000350001,MN0101
NYC FLEET / DOT_OLDSLIP-3,DOT,1,Level 2 Charger,42 South St,New York,10005,Manhattan,40.703466,-74.007538,101,1,7,1000867,1000350001,MN0101
NYC FLEET / DOT_OLDSLIP-4,DOT,1,Level 2 Charger,42 South St,New York,10005,Manhattan,40.703466,-74.007538,101,1,7,1000867,1000350001,MN0101
NYC FLEET / DOT_PIER36-S1,DOT,1,EV Solar Arc Charger,299 South St,New York,10002,Manhattan,40.710508,-73.986196,103,1,201,1079600,1002410013,MN0301
NYC FLEET / DOT_SIDUBOIS-1,DOT,1,Level 2 Charger,5 Dubois Ave,Staten Island,10310,Staten Island,40.631925,-74.129397,501,49,13302,5104536,5002150100,SI0106
NYC FLEET / DOT_SIFERRYTERM,DOT,2,Level 2 Charger,10 Richmond Terrace,Mid Island,10301,Staten Island,40.642367,-74.075274,501,49,3,5000063,5000070001,SI0101
NYC FLEET / DOT_SISIMYARD,DOT,2,Level 2 Charger,99-2703 Richmond Terrace,Staten Island,10303,Staten Island,40.644935,-74.077204,501,49,7,,,SI0101
NYC FLEET / DOT_VERNONYARD,DOT,2,Level 2 Charger,4200 Vernon Blvd,LIC,11101,Queens,40.754395,-73.94923,402,26,103,4005413,4004770007,QN0201
NYC FLEET / DOT_WBSTR_1_L3,DOT,1,Level 3 Fast Charger,2144 Webster Ave,Belmont,10457,Bronx,40.853544,-73.897301,206,15,379,2011136,2030300028,BX0502
NYC FLEET / DOT_WBSTR_2_L3,DOT,1,Level 3 Fast Charger,2144 Webster Ave,Fordham Heights,10457,Bronx,40.853544,-73.897301,206,15,379,2011136,2030300028,BX0502
NYC FLEET / DOT_WILLIAMSBR,DOT,2,Level 2 Charger,1400 Williamsbridge Road,The Bronx,10461,Bronx,40.842206,-73.844168,210,18,200,2044091,2040740001,BX1001
NYC FLEET / DOT2811QNSPLAZA,DOT,1,Level 2 Charger,28-11 Queens Plaza North,Queens,11101,Queens,40.75008,-73.938208,401,26,3301,4005022,4004170002,QN0105
NYC FLEET / DOTFLATLANDS-S1,DOT,1,EV Solar Arc Charger,928 E 76Th St,Canarsie,11236,Brooklyn,40.633144,-73.91573,318,46,998,3325351,3080120400,BK1803
NYC FLEET / DOTFLTLNDS_1_L3,DOT,1,Level 3 Fast Charger,6080 Flatlands Ave,Canarsie,11236,Brooklyn,40.633452,-73.916446,318,46,998,3325350,3080120400,BK1803
NYC FLEET / DOTHPRASPH_1_L3,DOT,1,Level 3 Fast Charger,32-1 Harper St,Corona,11368,Queens,40.764388,-73.842368,407,21,38301,4045010,4017900001,QN0707
NYC FLEET / DOTHPRASPH_2_L3,DOT,1,Level 3 Fast Charger,32-1 Harper St,Corona,11368,Queens,40.764388,-73.842368,407,21,38301,4045010,4017900001,QN0707
NYC FLEET / DOTMASPETHQNS-1,DOT,1,Level 2 Charger,58-50 57th Rd,Maspeth,11378,Queens,40.722386,-73.910043,405,30,531,4059838,4026750015,QN0501
NYC FLEET / DOTMASPETHQNS-2,DOT,1,Level 2 Charger,58-50 57th R,Maspeth,11378,Queens,,,,,,,,
NYC FLEET / DOTMSPTH_SHP_1,DOT,1,Level 2 Charger,57-50 57Th Rd,Maspeth,11378,Queens,40.722361,-73.912677,405,30,531,4567284,4026710001,QN0501
NYC FLEET / DOTMSPTH_SHP_2,DOT,1,Level 2 Charger,57-50 57Th Rd,Maspeth,11378,Queens,40.722361,-73.912677,405,30,531,4567284,4026710001,QN0501
NYC FLEET / DOTPITKINAVE-1,DOT,1,Level 2 Charger,88-26 Pitkin Ave,Queens,11417,Queens,40.673779,-73.847565,410,32,58,4539787,4113680020,QN1002
NYC FLEET / DOTPITKINAVE-2,DOT,1,Level 2 Charger,88-26 Pitkin Ave,Queens,11417,Queens,40.673779,-73.847565,410,32,58,4539787,4113680020,QN1002
NYC FLEET / DOTQNSBLVD-1,DOT,1,Level 2 Charger,34-2 Queens Blvd,Queens,11101,Queens,40.744537,-73.930602,402,26,17902,4003435,4002460001,QN0202
NYC FLEET / DOTQNSBLVD-2,DOT,1,Level 2 Charger,34-2 Queens Blvd,Queens,11101,Queens,40.744537,-73.930602,402,26,17902,4003435,4002460001,QN0202
NYC FLEET / DOTQNSBLVD-3,DOT,1,Level 2 Charger,34-2 Queens Blvd,Queens,11101,Queens,40.744537,-73.930602,402,26,17902,4003435,4002460001,QN0202
NYC FLEET / DOTQNSBLVD-4,DOT,1,Level 2 Charger,34-2 Queens Blvd,Queens,11101,Queens,40.744537,-73.930602,402,26,17902,4003435,4002460001,QN0202
NYC FLEET / DOTSIDUBOIS,DOT,1,Level 2 Charger,5 Dubois Ave,Staten Island,10310,Staten Island,40.631925,-74.129397,501,49,13302,5104536,5002150100,SI0106
NYC FLEET / DPR_5BORO#4A-B,DPR,2,Level 2 Charger,14 Bronx Shore Rd,New York,10035,Manhattan,40.79872,-73.921194,111,8,240,1088069,1018190203,MN1191
NYC FLEET / DPR_5BORO#9A-B,DPR,2,Level 2 Charger,13 Bronx Shore Rd,New York,10035,Manhattan,,,,,,,,
NYC FLEET / DPR_5BORO-S1,DPR,1,EV Solar Arc Charger,37-49 Bronx Shore Rd,New York,10035,Manhattan,40.800068,-73.925671,111,8,240,1088067,1018190203,MN1191
NYC FLEET / DPR_5BORO-S2,DPR,1,EV Solar Arc Charger,37-49 Bronx Shore Rd,New York,10035,Manhattan,40.800068,-73.925671,111,8,240,1088067,1018190203,MN1191
NYC FLEET / DPR_5BORO-S3,DPR,1,EV Solar Arc Charger,14 Bronx Shore Rd,New York,10035,Manhattan,40.79872,-73.921194,111,8,240,1088069,1018190203,MN1191
NYC FLEET / DPR_ALLIED #2,DPR,2,Level 2 Charger,13 East Rd,Corona,11368,Queens,40.753928,-73.838823,481,21,38302,4439847,4020180001,QN8191
NYC FLEET / DPR_ALLIED_#5,DPR,2,Level 2 Charger,15 East Rd,Corona,11368,Queens,40.754021,-73.838509,481,21,38302,4541447,4020180001,QN8191
NYC FLEET / DPR_ALLIED1,DPR,2,Level 2 Charger,13 East Rd,Corona,11368,Queens,40.753928,-73.838823,481,21,38302,4439847,4020180001,QN8191
NYC FLEET / DPR_ALLIED3,DPR,2,Level 2 Charger,15 East Rd,Corona,11368,Queens,40.754021,-73.838509,481,21,38302,4541447,4020180001,QN8191
NYC FLEET / DPR_ALLIED4,DPR,2,Level 2 Charger,15 East Rd,Corona,11368,Queens,40.754021,-73.838509,481,21,38302,4541447,4020180001,QN8191
NYC FLEET / DPR_ALLIED-S#11,DPR,1,EV Solar Arc Charger,15 East Rd,Corona,11368,Queens,40.754021,-73.838509,481,21,38302,4541447,4020180001,QN8191
NYC FLEET / DPR_ALLIED-S#12,DPR,1,EV Solar Arc Charger,13 East Rd,Corona,11368,Queens,40.753928,-73.838823,481,21,38302,4439847,4020180001,QN8191
NYC FLEET / DPR_ALLIED-S#13,DPR,1,EV Solar Arc Charger,15 East Rd,Corona,11368,Queens,40.754021,-73.838509,481,21,38302,4541447,4020180001,QN8191
NYC FLEET / DPR_ALLIED-S#14,DPR,1,EV Solar Arc Charger,13 East Rd,Corona,11368,Queens,40.753928,-73.838823,481,21,38302,4439847,4020180001,QN8191
NYC FLEET / DPR_ALOERTER#1,DPR,2,Level 2 Charger,131-40 Fowler Ave,Flushing,11355,Queens,40.751616,-73.834155,407,20,38302,4540092,4020180001,QN8191
NYC FLEET / DPR_ALOERTER#2,DPR,2,Level 2 Charger,131-40 Fowler Ave,Brooklyn,11355,Queens,40.751616,-73.834155,407,20,38302,4540092,4020180001,QN8191
